A&A	Astronomy and Astrophysics
NSTIM	Notes Scientifiques et Techniques de l'Institut de Mecanique Celeste
NTA	Nonlinear Theory and Its Applications, IEICE
NTCo	Nondestructive Testing Communications
NTE	Nondestructive Testing and Evaluation
ntis.rept	National Technical Information Service Report
NTN	New Technology News
NTTRv	NTT Review
NTvA	Novaya tekhn. v astron.
NUAAJ	Nanjing University Aeronautics and Astronautics Journal
NuAlg	Numerical Algorithms
NucFS	Nuclear Fusion Special Supplement
NucFu	Nuclear Fusion
NucIM	Nuclear Instruments and Methods
NucIn	Nuclear Instruments
nucl.ex	arXiv Nuclear Experiment e-prints
nucl.th	arXiv Nuclear Theory e-prints
NucPh	Nuclear Physics
NucTe	Nuclear Technology
NucTF	Nuclear Technology Fusion
NUDTJ	National University Defense Technology Journal
NuEnD	Nuclear Engineering and Design
NUFEM	Nagoya University Faculty Engineering Memoirs
NuGeo	Nuclear Geophysics
NuMat	Numerische Mathematik
NumHT	Numerical Heat Transfer
NuPhA	Nuclear Physics A
NuPhB	Nuclear Physics B
NuPhS	Nuclear Physics B Proceedings Supplements
NuPhS..51	Nuclear Physics B Proceedings Supplements, Vol. 51
NURIA	Nagoya University Research Institute of Atmospherics Proceedings
NUSEM	Nagoya University School Engineering Memoirs
NVS	Nachrichtenblatt der Vereinigung der Sternfreunde
NW	Naturwissenschaften
NWGot	Nachrichten von der Gesellschaft der Wissenschaften zu Goettingen, Mathematisch-Physikalische Klasse
NYASA	Annals of the New York Academy of Sciences
NZJS	New Zealand Journal of Science
O&T	Observations et Travaux
OAcJ	The Open Acoustics Journal
OACSC	Observatorio Astronomico de Cordoba, Serie Contribuciones
OAeEJ	The Open Aerospace Engineering Journal
OAJ	The Open Astronomy Journal
OAORP	Observations astronomiques faites a l'Observatoire royal de Paris
OAP	Odessa Astronomical Publications
OAPJ	The Open Applied Physics Journal
OASJ	The Open Atmospheric Science Journal
OAst	Open Astronomy
OAWMN	Oesterreichische Akademie Wissenschaften Mathematisch naturwissenschaftliche Klasse Sitzungsberichte Abteilung
OBN1K	Observatoire de Besancon - CNES
Obs	The Observatory
Obser	Observation pi
ObVyS	Obzory Vysokotemperaturnoi Sverkhprovodimosti
OCAM	Optimal Control Applications and Methods
OccN	Occultation Newsletter, International Occultation Timing Association (IOTA)
OcDyn	Ocean Dynamics
Ocean	Oceanus Summer
OcEng	Ocean Engineering
Ocgy	Oceanology
OcMod	Ocean Modelling
OCMPJ	The Open Condensed Matter Physics Journal
OCPJ	The Open Chemical Physics Journal
OCSC	OAA Compututer Section Circular
OcScD	Ocean Science Discussions
OcSci	Ocean Science
OCzAS	Ondrejov Czechoslovakia Czechoslovak Academy Sciences CAS Astronomical Institute Publications
OEart	One Earth
Oecol	Oecologia
OED	El Observador de Estrellas Dobles
OEJV	Open European Journal on Variable Stars
OEng	Open Engineering
OERv	Opto-Electronics Review
OExpr	Optics Express
OGC	The Open Geology Journal
OGeo	Open Geosciences
OHJ	The Open Hydrology Journal
OIDP	Optoelectronics, Instrumentation and Data Processing
OISNP	Oxford Pergamon Press International Series on Natural Philosophy
OISTS	Oxford Pergamon Press International Tables Selected Constants
OJA	Open Journal of Acoustics
OJAp	The Open Journal of Astrophysics
OJAS	Open Journal of Applied Sciences
OJBp	Open Journal of Biophysics
OJFD	Open Journal of Fluid Dynamics
OJGeo	Open Journal of Geology
OJMic	Open Journal of Microphysics
Okean	Okeanologiia
OLEB	Origins of Life and Evolution of the Biosphere
OMatS	Open Material Sciences
OMEJ	The Open Mechanical Engineering Journal
OMExp	Optical Materials Express
OMJ	The Open Mechanics Journal
OMN	Optofluidics, Microfluidics and Nanofluidics
OMnJ	The Open Mineralogy Journal
OMPJ	The Open Mineral Processing Journal
OMX	Optical Materials: X
ONCP	Old and New Concepts of Physics
ONERA	ONERA TP
ONJ	The Open Nanoscience Journal
ONMJ	The Open Numerical Methods Journal
ONPPJ	The Open Nuclear and Particle Physics Journal
ONRAS	Occasional Notes of the Royal Astronomical Society
OOcJ	The Open Oceanagraphy Journalurnal
OOEJ	The Open Ocean Engineering Journal
OOJ	The Open Optics Journal
OOPS	Fundamentalnye Osnovy Opticheskoi Pamiati i Sredy
OOVRO	Observations Owens Valley Radio Observatory
OPalJ	The Open Paleontology Journal
OpAt	Optika Atmosfery
OpAtO	Optika Atmosfery i Okeana
OPCJ	The Open Physical Chemistry Journal
OPhy	Open Physics
OPhyJ	Open Physics Journal
OPJ	Optics and Photonics Journal
OPlan	Our Planet
OpMeP	Optiko Mekhanicheskaia Promyshlennost
OPP	Organic Photonics and Photovoltaics
OPPJ	The Open Plasma Physics Journal
OpPuT	Optoelektronika i Poluprovodnikovaia Tekhnika
OpSCN	Optical Sciences Center Newsletter
OpSp	Optika i Spektroskopiia
OptCo	Optics Communications
OptEL	Optoelectronics Letters
OptEn	Optical Engineering
Optfl	Optofluidics
OptFT	Optical Fiber Technology
Optic	Optica
Optik	Optik
OptL	Optics Letters
OptLE	Optics and Lasers in Engineering
OptLT	Optics Laser Technology
OptMa	Optical Materials
OptN	Optics News
OptNa	Optical Nanoscopy
OptPE	Optical Physics and Engineering
OptPN	Optics & Photonics News
OptRv	Optical Review
OptSp	Optics and Spectroscopy
OptT	Optics Technology
OQEle	Optical and Quantum Electronics
OREJ	The Open Renewable Energy Journal
OrGeo	Organic Geochemistry
Ori	Orione
Orion	Orion: Zeitschrift f&uuml;r Amateur-Astronomie
OrLi	Origins of Life
OrNav	Ortung und Navigation
ORROE	Occasional Reports of the Royal Observatory Edinburgh
ORSJ	The Open Remote Sensing Journal
OSFOT	Observatoire de la Soci&eacute;t&eacute; Astronomique de France Observations et Travaux
OSID	Open Systems and Information Dynamics
Osir	Osiris
OSJ	Ocean Science Journal
OSJaJ	Oceanographical Society of Japan Journal
OslR	Institute of Theoretical Astrophysics Blindern Oslo Reports
OSpeJ	The Open Spectroscopy Journal
OSPJ	The Open Signal Processing Journal
oss..prop	NASA OSS Proposal
OSSJ	The Open Surface Science Journal
OSUC	Observationes Astronomicas Insitutas in Specula Universitatis Caesareae Dorpatensis
OSuJ	The Open Superconductors Journal
OsUTR	Osaka University Technology Reports
OtObI	Otbor i Obrabotka Informatsii
OtPI	Otbor i Peredacha Informatsii
OVS	Observation of Variable Stars
OxfOO	Oxford University Observatory Observations
oxun.rept	Oxford Univ Report
P&SS	Planetary and Space Science
PA	Popular Astronomy
PAAAS	Proceedings of the American Academy of Arts and Sciences
PAAS	Publications of the American Astronomical Society
PAASR	Polish Amateur Astronomical Society - The Astronomical Reports
PAB	Publications of The Astrophysics Branch Ottawa
PABei	Progress in Astronomy
PadCR	Osservatorio Astronomico di Padova Comunicazioni e Rassegne
PADEU	Publications of the Astronomy Department of the Eotvos Lorand University
PAIB	Publications of the Astronomy Institute of Bonn
PAICU	Publications of the Astronomical Institute of the Charles University
PAICz	Publications of the Astronomical Institute of the Czechoslovak Academy of Sciences
PAIJ	Physics and Astronomy International Journal
PAIKH	Publikationen des Astrophysikalischen Instituts Koenigstuhl-Heidelberg
Palai	PALAIOS
PAllO	Publications of the Allegheny Observatory of the University of Pittsburgh
PalOc	Paleoceanography
PAM	Physics of Atoms and Molecules
PAN	Physics of Atomic Nuclei
PAOS	Publications of the Astronomical Observatory of Sarajevo
PaPa	Paleoceanography and Paleoclimatology
PApCh	Pure & Applied Chemistry
PApGe	Pure and Applied Geophysics
PAPhS	Proceedings of the American Philosophical Society
PApOp	Pure Applied Optics
PApPh	Pure and Applied Physics
ParC	Parallel Computing
PaReL	Pattern Recognition Letters
PASA	Publications of the Astronomical Society of Australia
PASAM	Polish Academy of Science Arch Mech
PASAS	Polish Academy of Science Artificial Satellites
PASIG	Polish Academy of Sciences Institute of Geophysics Publications
PASJ	Publications of the Astronomical Society of Japan
PASK	Publications of the Academy of Science Kasakstan Sect. Astrobotanics
PASP	Publications of the Astronomical Society of the Pacific
PASRB	Publications of the Astronomical Society "Rudjer Boskovic"
pata.rept	NASA Patent Application
PAth	Publications of the Laborotory of Astronomy University of Athens
PATid	PATid___Popular Astronomisk Tidskrift
PatRe	Pattern Recognition
PAUTx	University of Texas Publications in Astronomy
PAZh	Pisma v Astronomicheskii Zhurnal
PBeiO	Publications of the Beijing Astronomical Observatory
PBioE	Progress in Biomedical Engineering
PBosO	Publications of the Bosscha Observatory Lembang Indonesia
PBrn	Publications of the Astronomical Institute of the University of Borneo
PCAS	Proceedings of the California Academy of Sciences
PCat	Publications of Osservatorio Astrofisico di Catania
PCCP	Physical Chemistry Chemical Physics (Incorporating Faraday Transactions)
PCE	Physics and Chemistry of the Earth
PCEA	Physics and Chemistry of the Earth A
PCEB	Physics and Chemistry of the Earth B
PCEC	Physics and Chemistry of the Earth C
PCED	Physics and Chemistry of the Earth Delta
PCHEI	Physics in Collision: High-Energy ee/ep/pp Interactions
PCinO	Publications of the Cincinnati Observatory
PCM	Physics and Chemistry of Minerals
PCMLA	Physics and Chemistry of Materials with Low-Dimensional Structures Series A
PCMLB	Physics and Chemistry of Materials with Low-Dimensional Structures Series B
PCMLC	Physics and Chemistry of Materials with Low-Dimensional Structures Series C
PCMLD	Physics and Chemistry of Materials with Low-Dimensional Structures
PCMPS	Protection and Control of Modern Power Systems
pcnf.rept	Plasma Physics and Controlled Nuclear Fusion
PCooO	Publications of the Cook Observatory
PCopO	Publikationer og mindre Meddeler fra Kobenhavns Observatorium
PCPS	Proceedings of the Cambridge Philosophical Society
PCS	Physics and Chemistry in Space
PCSE	Physical Chemistry: Science and Engineering
PCTM	Physikalisch-Chemische Trenn- und Messmethoden
PCZNN	Politechnika Czestochowska Zeszyty Naukowe Nauki Techniczne Mechanika
PDAO	Publications of the Dominion Astrophysical Observatory Victoria
PDAUC	Publications of the Department of Astronomy University of Chile
PDDO	Publications of the David Dunlap Observatory
PDHO	Publications of Debrecen Heliophysical Observatory
PDiff	Powder Diffraction
PDO	Publications of the Dominion Observatory Ottawa
PDreO	Publications of the Dresden Observatory
PDSS	NASA Planetary Data System
PDU	Physics of the Dark Universe
PEEI	Physics and Evolution of the Earth's Interior
PEFPN	Physica Energiae Fortis et Physica Nuclearis
PEPI	Physics of the Earth and Planetary Interiors
PEPS	Progress in Earth and Planetary Science
PerCo	Perkins Observatory Contributions
PerMS	Perceptual Motor Skills
PerOC	Perth Observatory Communication
PESE	Physics of Earth and Space Environments
PESS	Perspectives of Earth and Space Scientists
PFG	PFG - Journal of Photogrammetry, Remote Sensing and Geoinformation Science
PFP	Philosophy and Foundations of Physics
PFR	Plasma and Fusion Research
Pg	Photogrammetria
PGAOI	Pulkovo Glavnaia Astronomicheskaia Observatoriia Izvestiia
PGC	Papers on Global Change IGBP
PgE	Photogrammetric Engineering
PGenA	Publications of the Observatoire Geneve Series A
PGenB	Publications of the Observatoire Geneve Series B
PgERS	Photogrammetric Engineering and Remote Sensing
pggp.rept	Planetary Geology and Geophysics Program Report
PGLO	Publications of the Goethe Link Observatory
PGooO	Publications of the Goodsell Observatory, Carleton College
PGro	Publications of the Kapteyn Astronomical Laboratory Groningen
PGZNM	Politechnika Gdanska Zeszyty Naukowe Mechanika
PhApp	Physics and its Applications
PhaTr	Phase Transitions, A Multinational Journal
PhB	Physics Bulletin
PhBio	Physical Biology
PhChH	PhysicoChemical Hydrodynamics
PhDT	Ph.D. Thesis
PhFl	Physics of Fluids
PhFlA	Physics of Fluids A
PhFlB	Physics of Fluids B
PhiJR	Philips Journal Research
PhInt	Photo Interpretation
PhiRR	Philips Research Reports
PhiTR	Philips Technical Review
PhL	Physics Letters
PhLA	Physics Letters A
PhLB	Physics Letters B
PhLC	Physics Letters Section C Physics Reports C
PhLF	Physics Laser Fusion
PhLRv	Physics of Life Reviews
PhMet	Physics of Metals
PhNan	Photonics and Nanostructures
Phoen	Phoenix Mitteilungsblatt fuer Veraenderlichenbeobachter
PhoSp	Photonics Spectra
Phot	Photoniques
PhP	Physics in Perspective
PhPl	Physics of Plasmas
PhPro	Physics Procedia
PhQE	Physics of Quantum Electronics
PhR	Physics Reports
PhRv	Physical Review
PhRvA	Physical Review A
PhRvB	Physical Review B
PhRvC	Physical Review C
PhRvD	Physical Review D
PhRvE	Physical Review E
PhRvF	Physical Review Fluids
PhRvI	Physical Review Series I
PhRvL	Physical Review Letters
PhRvM	Physical Review Materials
PhRvP	Physical Review Applied
PhRvR	Physical Review Research
PhRvS	Physical Review Accelerators and Beams
PhRvX	Physical Review X
PhSen	Photonic Sensors
PhSRv	Physical Sciences Reviews
PhSS	Physics of the Solid State
PhST	Physica Scripta Volume T
PhT	Physics Today
PhTea	The Physics Teacher
PhTec	Physics in Technology
PhuZ	Physik in unserer Zeit
Phy	Physica
PhyA	Physica A Statistical Mechanics and its Applications
PhyB	Physica B Condensed Matter
PhyBC	Physica B+C
PhyBl	Physikalische Bl&auml;tter
PhyC	Physica C Superconductivity
PhyD	Physica D Nonlinear Phenomena
PhyE	Physica E Low-Dimensional Systems and Nanostructures
PhyEd	Physics Education
PhyEs	Physics Essays
PhyG	Physikalische Gesellschaft
PhyGZ	Physikalische Gesellschaft Z&uuml;rich
PhyIn	Physics International
PhylS	Physiologist Supplement
PhyM	Physiological Measurement
PhyMe	Physical Mesomechanics
PhyN	Physics Notes
PhyNr	Physica Norvegica
PhyNY	Physics New York
PhyO	Physics Open
PhyOJ	Physics Online Journal
PhyR	Physical Research
PhyS	Physica Scripta
PhySB	Physica Scripta B
Physi	Physics
physics	arXiv Physics e-prints
PhyU	Physics Uspekhi
PhyW	Physics World
PhyZ	Physikalische Zeitschrift
PIAGL	Publications de l'Institut d'Astronomie et de Geophysique Georges Lemaitre
PIAHS	Proceedings of the International Association of Hydrological Sciences
PIASE	Proceedings of the Indian Academy of Science, Earth and Planetary Sciences
PIGP	Proceedings of the Institute of General Physics, Adademy of the Sciences of Russia
PILOM	Proceedings of the International Latitude Observatory at Mizusawa
PINSA	Proceedings of the Indian National Science Academy Part A
PINSB	Proceedings of the Indian National Science Academy Part B
PIRE	Proceedings of the IRE
PIstO	Publications of the Istanbul University Observatory
PJAB	Proceedings of the Japan Academy, Series B
PJGeo	Pakistan Journal of Geology
PJMPE	Polish Journal of Medical Physics And Engineering
PKAO	Pyublikatskii Kievskoj Astronomicheskoj Observatorii
PKAS	Publication of Korean Astronomical Society
PKCat	Publ. House Czech. Acad. Sci.
PKirO	Publications of the Kirkwood Observatory of Indiana University
PKM	Physik der Kondensierten Materie
PKUJ	Publikationen der Kaiserlichen Universitaets-Sternwarte Jurjew
Plan	Planet
PlanS	Planet Science
plas.rept	NASA Reports of Planetary Astronomy
PlAst	Planetary Astronomy
PLDS	Physics of Low-Dimensional Structures
PLicO	Publications of Lick Observatory
PLoSO	PLoS ONE
PlPh	Plasma Physics
PlPhR	Plasma Physics Reports
PLPla	Observatory Astronomical La Plata Series Astronomies
PlR	Planetary Report
PlREx	Plasma Research Express
PLSCB	PLoS Computational Biology
PlSci	Planetary Science
PlST	Plasma Science and Technology
PMag	Philosophical Magazine
PMagA	Philosophical Magazine, Part A
PMagB	Philosophical Magazine, Part B
PMagL	Philosophical Magazine Letters
PManO	Publications of the Manila Observatory
PMatP	Progress in Mathematical Physics
PMB	Physics in Medicine and Biology
PMcCO	Publications of the Leander McCormick Observatory
PMCPA	PMC Physics A
PMCPB	PMC Physics B
PMCPC	PMC Physics C
PMetP	Progress in Metal Physics
PMetR	Papers in Meteorological Research
PMG	Papers Meteorology Geophysics
PMM	Physics of Metals and Metallography
PMMin	Proper Motion Survey, University of Minnesota
PMO	Perth Meridien Observations
PMP	Powder Metallurgy Progress
PMRP	Progress in Medical Radiation Physics
PMTF	PMTF Zhurnal Prikladnoi Mekhaniki i Tekhnicheskoi Fiziki
PMtv	Facultad de Humanidades y Ciencias Universidad de la Republica Montevideo
PMunO	Publications of the Munich Observatory
PNAOC	Publications of the National Astronomical Observatories of China
PNAOJ	Publications of the National Astronomical Observatory of Japan
PNAS	Proceedings of the National Academy of Science
PNAU	Proceedings of National Aviation University
PnGid	Pnevmatika i Gidravlika
PNSBP	Proceedings of the National Society of Black Physicists
PNSC	Proceedings of the National Science Council
PNSci	Progress in Natural Science
PoAn	Postepy Astronautyki
POANC	Publications of the Observatorie Astronomie Nacional Cerro Calan
PoAst	Postepy Astronomii Krakow
POBeo	Publications de l'Observatoire Astronomique de Beograd
POBol	Publications of dell'Osservatorio Astronomie de Bologna
PoCom	Polymer Composites
PODE	Dun Echt Observatory Publications
POHel	Publications of the Astronomical Observatory Helsinki
POHP	Publications of the Observatoire Haute-Provence
Polar	Polarforschung
PolAt	Pollution Atmospherique
PolPh	Polymer Physics
PolPP	Poluprovodnikovye Pribory i ikh Primenenie
PolRe	National Institute Polar Research Memoirs
PolSc	Polar Science
PolSi	Poliarnye Siianiia
PolTM	Poluprovodnikovaia Tekhnika i Mikroelektronika
POLyo	Publications of the Observatoire de Lyon
Polyt	Polytechnica
PomAK	Pomiary Automatyka Kontrola
PoMec	Polymer Mechanics
POMic	Publications of Michigan Observatory
POMil	Pubblicazioni dell'Osservatorio Astronomico di Milano-Merate
POMin	Publications of the Astronomical Observatory University of Minnesota
POPad	Pubblicazioni dell'Osservatorio Astronomico di Padova
POPot	Publikationen des Astrophysikalischen Observatoriums zu Potsdam
POrCo	Progress in Organic Coatings
PorMe	Poroshkovaia Metallurgiia
PoS	Proceedings of Science
POStr	Publication de l'Observatoire de Strasbourg
POTor	Pubblicazioni Varie Fuori Serie dell'Osservatorio Astronomico di Torino
PotUr	Potins d'Uranie
POVRO	Publications of the Owens Valley Observatory
POxf	Publications University of Oxford Department of Astrophysics
PPCAS	Publication of the Pomona College Astronomical Society
PPCF	Plasma Physics and Controlled Fusion
PPcPp	Progress in Photochemistry and Photophysics
PPEE	Periodica Polytechnica Electrical Engineering
PPh	Papers in Physics
PPhI	Particle Physics Insights
PPHTS	Physical Properties of High Temperature Superconductors
PPME	Periodica Polytechnica Mechanical Engineering
PPMtO	Publications of the Purple Mountain Observatory
PPN	Physics of Particles and Nuclei
PPNL	Physics of Particles and Nuclei Letters
PPP	Palaeogeography Palaeoclimatology Palaeoecology
PPPLR	Princeton Plasma Physics Laboratory Report
PPS	Proceedings of the Physical Society
PPSA	Proceedings of the Physical Society A
PPSB	Proceedings of the Physical Society B
PPSL	Proceedings of the Physical Society of London
PPTE	Periodica Polytechnica Transportation Engineering
PQE	Progress in Quantum Electronics
PrA	Progress in Astronomy
PrAA	Progress in Astronautics and Aeronautics
PraAc	Prague Academia
